DateTimeStamp,Temp,SensorX,SensorY,Mode,MotorA,MotorB
2019-09-16 10:10:01,219.08,7.5,3.15,0,0,0
2019-09-16 11:10:07,219.1,7.75,2.96,0,0,0
2019-09-16 12:10:07,219.47,7.55,3.05,0,0,0
2019-09-16 13:10:08,219.27,7.55,3.02,0,0,0
2019-09-16 14:10:04,219.27,7.8,2.89,0,0,0
2019-09-16 15:10:03,219.66,7.75,2.87,0,0,0
2019-09-16 15:40:05,219.64,7.9,2.78,0,0,0
2019-09-17 10:10:07,219.82,7.6,2.81,1,0,0
2019-09-17 11:10:00,219.5,7.9,2.57,1,0,0
2019-09-17 12:10:02,220.14,7.85,2.59,1,0,0
2019-09-17 13:10:08,220.01,7.95,2.54,1,0,0
2019-09-17 14:10:06,220.19,7.8,2.54,1,0,0
2019-09-17 15:10:02,220.03,7.8,2.53,1,0,0
2019-09-17 15:40:01,220.04,8,2.43,1,0,0
2019-09-18 10:10:01,220.32,9.4,1.87,1,0,0
2019-09-18 11:10:07,222.3,9.2,1.94,1,0,0
2019-09-18 12:10:04,222.01,8.95,2.01,1,0,0
2019-09-18 13:10:06,221.7,8.4,2.21,1,0,0
2019-09-18 14:10:04,220.95,8.35,2.18,0,0,0
2019-09-18 15:10:04,221,8.8,2.06,0,0,0
2019-09-18 15:40:09,221.47,9.35,1.81,0,0,0
2019-09-19 10:10:09,222.33,9.65,1.48,1,0,0
2019-09-19 11:10:09,223,9.6,1.46,1,0,0
2019-09-19 12:10:04,222.93,8.8,1.62,1,0,0
2019-09-19 13:10:00,222,8.2,1.8,0,0,0
2019-09-19 14:10:01,221.21,8.57,1.68,0,0,0
2019-09-19 15:10:00,221.67,8.3,1.81,0,0,0
2019-09-19 15:40:02,221.28,8.15,1.84,0,0,0
2019-09-20 10:10:05,221.12,8.45,1.45,0,0,0
2019-09-20 11:10:05,221.85,8.6,1.39,0,1,0
2019-09-20 12:10:04,222.01,7.62,1.68,0,0,0
2019-09-20 13:10:09,220.76,7.3,1.76,0,0,1
2019-09-20 14:10:01,220.38,6.25,2.62,0,0,2
2019-09-20 15:10:05,218.43,6.8,2.27,0,0,2
2019-09-20 15:40:03,219.36,6.6,2.3,0,0,2
2019-09-23 10:10:00,219.14,5.7,2.4,0,0,2
2019-09-23 11:10:02,218.13,5.8,2.28,0,0,2
2019-09-23 12:10:03,218.35,6.27,1.92,1,0,0
2019-09-23 13:10:09,219.19,5.97,2.02,1,0,0
2019-09-23 14:10:06,218.78,6.22,1.88,1,0,0
2019-09-23 15:10:04,219.18,6.6,1.68,1,0,0
2019-09-23 15:40:09,219.75,6.6,1.65,1,0,0
2019-09-24 10:10:06,219.77,7.8,1.23,1,1,0
2019-09-24 11:10:03,221.44,7.1,1.54,1,1,0
2019-09-24 12:10:09,220.43,6.72,1.76,1,0,0
2019-09-24 13:10:05,219.78,5.65,2.52,0,0,1
2019-09-24 14:10:05,218,5.35,2.73,0,0,1
2019-09-24 15:10:04,217.53,5.85,2.33,0,0,1
2019-09-24 15:40:06,218.37,5.37,2.56,0,0,1
2019-09-25 10:10:08,217.64,6.22,2.06,0,1,0
2019-09-25 11:10:08,218.99,6.5,1.82,1,1,0
2019-09-25 12:10:02,219.53,7.25,1.42,1,2,0
2019-09-25 13:10:08,220.63,6.82,1.54,1,2,0
2019-09-25 14:10:00,220.16,7.05,1.4,1,2,0
2019-09-25 15:10:08,220.53,7.25,1.29,1,2,0
2019-09-25 15:40:07,220.89,7.5,1.18,1,2,0
2019-09-26 10:10:08,221.2,6.15,1.49,0,0,0
2019-09-26 11:10:05,219.57,6.2,1.47,0,0,0
2019-09-26 12:10:03,219.6,6.5,1.31,0,0,0
2019-09-26 13:10:01,220.09,6.4,1.27,0,0,0
2019-09-26 14:10:03,220.03,6.75,1.08,0,1,0
2019-09-26 15:10:01,220.54,6.4,1.17,1,0,0
2019-09-26 15:40:07,220.12,6.7,1.1,1,1,0
2019-09-27 10:10:09,220.49,6.25,1.01,1,0,0
2019-09-27 11:10:09,220.13,6.32,0.85,0,0,0
2019-09-27 12:10:05,220.38,6.05,1.25,0,0,1
2019-09-27 13:10:08,219.69,5.5,1.6,0,0,1
2019-09-27 14:10:06,218.81,5.22,1.91,0,0,2
2019-09-27 15:10:06,218.18,4.9,1.99,0,0,2
2019-09-27 15:40:07,217.81,5.45,1.62,0,0,2
2019-09-30 10:10:09,217.81,7.17,0.68,1,1,0
2019-09-30 11:10:09,221.48,8.4,0.42,1,2,0
2019-09-30 12:10:02,222.93,9,0.36,1,2,0
2019-09-30 13:10:05,223.59,9.65,0.34,1,2,0
2019-09-30 14:10:02,224.24,9.52,0.34,1,2,0
2019-09-30 15:10:00,224.13,9.45,0.34,1,2,0
2019-09-30 15:40:00,224.07,9.27,0.33,1,2,0
2019-10-01 10:10:04,223.82,12.02,0.18,1,2,0
2019-10-01 11:10:06,226.93,11.87,0.17,1,2,0
2019-10-01 12:10:06,226.63,10.95,0.24,1,2,0
2019-10-01 13:10:06,225.61,10.37,0.27,0,2,0
2019-10-01 14:10:06,225.08,10.32,0.27,0,2,0
2019-10-01 15:10:02,224.99,10.77,0.22,0,2,0
2019-10-01 15:40:01,225.5,10.22,0.23,0,2,0
2019-10-01 16:00:00,224.93,9.75,0.26,0,0,0
2019-10-02 10:10:06,224.59,6.3,0.65,0,0,1
2019-10-02 11:10:08,220.54,5.8,0.71,0,0,2
2019-10-02 12:10:04,220.02,5.05,0.84,0,0,2
2019-10-02 13:10:09,219.17,4.85,0.93,0,0,2
2019-10-02 14:10:05,218.86,4.8,0.86,0,0,2
2019-10-02 15:10:02,218.89,4.82,0.77,0,0,2
2019-10-02 15:40:08,219.01,5.3,0.66,1,0,2
2019-10-03 10:10:01,219.57,2.64,1.57,1,0,2
2019-10-03 11:10:00,216,4.72,0.46,1,0,0
2019-10-03 12:10:09,219.22,4.82,0.38,1,0,0
2019-10-03 13:10:03,219.39,5.65,0.24,1,0,0
2019-10-03 14:10:08,220.43,5.45,0.23,1,0,0
2019-10-03 15:10:05,220.22,5.25,0.2,1,2,0
2019-10-03 15:40:04,220.04,5.25,0.18,1,2,0
2019-10-04 10:10:09,220.08,9.52,0.02,1,2,0
2019-10-04 11:10:00,224.5,10.57,0.01,1,2,0
2019-10-04 12:10:00,225.56,11,0.01,1,2,0
2019-10-04 13:10:02,226,10.97,0,1,2,0
2019-10-04 14:10:08,225.97,11.75,0,1,2,0
2019-10-04 15:10:05,226.76,11.52,0,1,2,0
2019-10-04 15:40:02,226.57,11.5,0,0,2,0
